UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
458645,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
458654,"A",,"A",,"A",,"R",49,"Z",0,"R",49,"R",34,"R",69,"A",,"A",,"A",,"A",,"A",,"R",21
458663,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
458681,"A",,"A",,"A",,"R",33,"Z",0,"R",33,"R",21,"R",64,"A",,"A",,"A",,"A",,"A",,"R",16
458690,"A",,"A",,"A",,"R",131,"R",0,"R",131,"R",99,"R",76,"A",,"A",,"A",,"A",,"A",,"R",30
458706,"A",,"A",,"A",,"R",62,"R",0,"R",62,"R",49,"R",79,"A",,"A",,"A",,"A",,"A",,"R",32
458715,"A",,"A",,"A",,"R",27,"R",0,"R",27,"R",20,"R",74,"A",,"A",,"A",,"A",,"A",,"R",12
458733,"R",27,"R",79,"R",34,"R",2,"R",0,"R",2,"R",1,"R",50,"R",1,"R",0,"R",1,"R",0,"R",0,"R",14
458742,"R",16,"R",56,"R",29,"R",11,"R",0,"R",11,"R",7,"R",64,"R",4,"R",0,"R",4,"R",2,"R",50,"R",13
458751,"R",36,"R",81,"R",44,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
458760,"R",25,"R",66,"R",38,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
458779,"R",16,"R",51,"R",31,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
458797,"A",,"A",,"A",,"R",35,"R",0,"R",35,"R",25,"R",71,"A",,"A",,"A",,"A",,"A",,"R",20
458803,"A",,"A",,"A",,"R",55,"R",0,"R",55,"R",36,"R",65,"R",12,"R",0,"R",12,"R",9,"R",75,"R",18
458812,"A",,"A",,"A",,"R",25,"R",0,"R",25,"R",21,"R",84,"A",,"A",,"A",,"A",,"A",,"R",13
