UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
143695,"A",,"A",,"A",,"R",8,"R",0,"R",0,"R",8,"R",4,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"R",3
144005,"R",142,"R",500,"R",28,"R",118,"R",0,"R",0,"R",118,"R",71,"R",60,"R",13,"R",0,"R",0,"R",13,"R",5,"R",38,"R",7
144050,"R",1809,"R",1853,"R",98,"R",1736,"R",6,"R",0,"R",1730,"R",1705,"R",99,"A",,"A",,"A",,"A",,"A",,"A",,"R",5
144157,"R",238,"R",1310,"R",18,"R",377,"R",12,"R",0,"R",365,"R",169,"R",46,"R",183,"R",28,"R",0,"R",155,"R",21,"R",14,"R",20
144166,"R",765,"R",2444,"R",31,"R",721,"R",27,"R",0,"R",694,"R",399,"R",57,"R",315,"R",20,"R",0,"R",295,"R",111,"R",38,"R",25
144175,"R",169,"R",1086,"R",16,"R",204,"R",7,"R",0,"R",197,"R",105,"R",53,"R",173,"R",10,"R",0,"R",163,"R",87,"R",53,"R",22
144184,"R",391,"R",2688,"R",15,"R",387,"R",22,"R",0,"R",365,"R",212,"R",58,"R",186,"R",14,"R",0,"R",172,"R",65,"R",38,"R",30
144193,"R",494,"R",2646,"R",19,"R",448,"R",19,"R",0,"R",429,"R",279,"R",65,"R",199,"R",11,"R",0,"R",188,"R",79,"R",42,"R",36
144209,"R",1318,"R",3617,"R",36,"R",1313,"R",36,"R",0,"R",1277,"R",739,"R",58,"R",421,"R",37,"R",0,"R",384,"R",138,"R",36,"R",29
144218,"R",974,"R",3401,"R",29,"R",1010,"R",25,"R",0,"R",985,"R",665,"R",68,"R",448,"R",18,"R",0,"R",430,"R",185,"R",43,"R",31
144281,"R",1294,"R",2104,"R",62,"R",1432,"R",0,"R",0,"R",1432,"R",971,"R",68,"R",11,"R",0,"R",0,"R",11,"R",4,"R",36,"R",13
144351,"R",395,"R",589,"R",67,"R",327,"R",0,"R",0,"R",327,"R",198,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
144485,"A",,"A",,"A",,"R",153,"R",0,"R",0,"R",153,"R",83,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"R",17
144564,"R",276,"R",1381,"R",20,"R",306,"R",7,"R",0,"R",299,"R",187,"R",63,"R",138,"R",11,"R",0,"R",127,"R",55,"R",43,"R",16
144573,"A",,"A",,"A",,"R",3,"Z",0,"Z",0,"R",3,"R",3,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",8
144740,"R",2570,"R",4009,"R",64,"R",2538,"R",0,"R",0,"R",2538,"R",2180,"R",86,"R",3,"R",0,"R",0,"R",3,"R",0,"R",0,"R",15
144795,"A",,"A",,"A",,"R",72,"R",0,"R",0,"R",72,"R",52,"R",72,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",18
144865,"R",1944,"R",10652,"R",18,"R",2073,"R",18,"R",0,"R",2055,"R",1488,"R",72,"R",1024,"R",24,"R",0,"R",1000,"R",523,"R",52,"R",21
144883,"R",74,"R",88,"R",84,"R",105,"R",0,"R",0,"R",105,"R",35,"R",33,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",16
144892,"R",796,"R",2705,"R",29,"R",661,"R",0,"R",0,"R",661,"R",462,"R",70,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",13
144944,"R",857,"R",2473,"R",35,"R",882,"R",52,"R",0,"R",830,"R",654,"R",79,"R",427,"R",25,"R",0,"R",402,"R",238,"R",59,"R",20
144962,"R",530,"R",969,"R",55,"R",497,"Z",0,"Z",0,"R",497,"R",389,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
144971,"R",140,"R",199,"R",70,"R",106,"R",0,"R",0,"R",106,"R",66,"R",62,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
145099,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",25
145239,"R",29,"R",158,"R",18,"R",24,"R",0,"R",0,"R",24,"R",17,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
145309,"A",,"A",,"A",,"R",14,"R",0,"R",0,"R",14,"R",12,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
145336,"R",203,"R",1016,"R",20,"R",199,"R",0,"R",0,"R",199,"R",106,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
145354,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",2
145372,"R",221,"R",331,"R",67,"R",220,"R",0,"R",0,"R",220,"R",153,"R",70,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
